1848: the
942: and
827: to
708: a
635: of
554: it
543: she
468: said
442: in
433: you
401: i
391: alice
361: was
297: that
273: as
253: her
243: with
226: at
202: on
201: all
187: this
180: had
177: for
173: but
169: be
167: not
159: or
155: so
147: very
141: what
133: little
133: they
129: is
120: its
119: he
116: out
114: if
107: one
106: down
104: up
102: about
98: his
98: no
97: do
92: then
91: by
87: like
87: project
87: were
86: know
86: them
85: would
84: again
84: have
83: herself
82: off
81: went
80: when
79: could
79: there
78: are
77: any
73: thought
72: into
72: queen
72: your
70: time
69: see
69: who
68: how
68: me
65: an
61: did
61: king
60: dont
60: from
60: well
59: im
59: mock
59: now
58: began
58: my
58: turtle
57: quite
57: which
56: gutenbergtm
55: gryphon
55: hatter
55: must
55: other
55: some
55: way
53: work
52: head
52: just
52: much
52: their
52: think
51: go
51: here
51: only
51: such
50: more
49: first
49: say
49: thing
48: never
47: come
47: looked
47: voice
46: can
46: get
45: got
44: him
44: rabbit
43: round
43: why
42: after
42: came
42: over
41: duchess
41: tone
41: two
41: will
40: we
39: back
39: before
39: dormouse
38: been
38: mouse
38: oh
37: great
36: cat
36: long
35: found
35: large
35: right
34: ive
34: thats
33: ill
33: last
33: made
33: march
33: nothing
33: once
33: without
33: works
32: next
32: put
32: tell
31: hare
31: may
31: things
30: caterpillar
30: heard
30: looking
30: should
30: upon
29: dear
29: door
29: make
29: moment
29: replied
29: use
29: white
28: added
28: away
28: cant
28: eyes
28: gutenberg
28: illustration
28: might
28: poor
28: three
28: too
27: electronic
27: look
27: seemed
27: shall
27: than
27: while
26: course
26: going
26: rather
25: day
25: same
25: soon
25: wont
24: good
24: set
24: sure
24: theres
24: took
23: another
23: ever
23: felt
23: minute
23: yet
22: anything
22: e
22: foundation
22: getting
22: half
22: old
22: please
22: take
22: terms
22: till
22: under
22: wish
22: youre
21: curious
21: end
21: find
21: however
21: words
20: cried
20: even
20: full
20: hand
19: being
19: court
19: feet
19: tried
18: agreement
18: alices
18: eat
18: house
18: something
18: soup
18: table
